год,численность
2010,142856536
2011,142960908
2012,143056383
2013,143347059
2014,143666931
2015,146267288
2016,146544710
2017,146804372
2018,146880432
2019,146780720
2020,146171015
2021,145864296
2022,146447424
2023,146574156
2024,146805456
